Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Berlin01,https://github.com/tumo-berlin/exhibit/raw/main/berlin1.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Berlin02,https://github.com/tumo-berlin/exhibit/raw/main/berlin2.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Berlin03,https://github.com/tumo-berlin/exhibit/raw/main/berlin3.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Berlin04,https://github.com/tumo-berlin/exhibit/raw/main/berlin4.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Berlin05,https://github.com/tumo-berlin/exhibit/raw/main/berlin5.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Berlin06,https://github.com/tumo-berlin/exhibit/raw/main/berlin6.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Berlin07,https://github.com/tumo-berlin/exhibit/raw/main/berlin7.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Berlin08,https://github.com/tumo-berlin/exhibit/raw/main/berlin8.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Berlin09,https://github.com/tumo-berlin/exhibit/raw/main/berlin9.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Berlin10,https://github.com/tumo-berlin/exhibit/raw/main/berlin10.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Berlin11,https://github.com/tumo-berlin/exhibit/raw/main/berlin11.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Berlin12,https://github.com/tumo-berlin/exhibit/raw/main/berlin12.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
